en;zh;zh-correct
So we see that sometimes, as a result of these dislocations, as a result of people leaving their original intended career and going into something else where their creativity could make a difference, that depressions and all kinds of other unfortunate events can have a paradoxically stimulating effect on creativity.;我们觉得,有时候, 由于这些令人沮丧的拼写, 结果是 人们离开自己的原本的职业, 进入到他们创造力可以带来改变的地方, 抑郁和其他各种不幸事件 都会有刺激的创造力。;因此我们看到 由于这些阴错阳差 由于人们 改变了他们了原有的职业方向 进入到一个 可以通过他们的创造力带来改变的领域 沮丧 以及其它各种不如意 反而可以对他们的创造力有刺激的 效果
And so they started helping us drive traffic to the website.; 于是他们开始帮我们访问这个网站的交通; 因此他们开始帮助我们 为网站增加流量。
And it should not have escaped you that the reason I paired the prisoner with his arms out with Leonardo da Vinci's ode to humanity is that that prisoner was mentally ill.; 不应该逃脱, 我之所以将其双臂与达芬奇颂扬人类, 是因为囚犯患了精神疾病。;你应该不会没有注意到, 我把那个伸开双臂的囚犯 和达芬奇颂扬人类的作品放在一起的原因, 是那个犯人得了精神疾病。
OK. Good. But, besides being a black woman, I am different from most of you in some other ways.;好的。很好。但除了成为一个黑人女性, 我跟大多数其他方式都不同。;非常好 但是,作为一个黑人妇女,我在其他方面跟你们中的大多数不同
And we could also produce power cables, to transfer enormous amounts of current between power stations.;我们还可以制造电缆, 来传输大量电流的电流; 我们还能制造电缆,在电站之间传输大量电流。
I think it will be more if we keep burning fossil fuels, perhaps even five meters, which is 18 feet, this century or shortly thereafter. The important point is that we will have started a process that is out of humanity's control.;我想,如果我们继续燃烧化石燃料, 海平面会上升五米,也就是18英尺, 这个世纪或缩短了。 重要的是我们要开始一个 超出人类控制的进程。;我认为,如果我们继续燃烧化石燃料, 海平面会上升更多, 在本世纪或此后不久, 海平面也许会上升5米,即18英尺。 问题的关键是, 我们将开始一个 超出人类控制的进程。
And it's a story that did work. It did happen, and the machines are all around us.;这是个确实能成功的故事 机器就在我们周围都是这样;说的都是实实在在发生的事情, 就是我们周围的计算机。
But as soon as the fighting intensified, the physical rehabilitation was suspended.;但是一旦有争执 身体康复就会被抑制;但是随着战事越来越激烈 肢体复健项目被搁置了
It can change your workflow -- actually, it can change everything in your company; it can turn your company upside down.;它可以改变你的工作流程,事实上,它能改变你公司的一切; 它也可以让你的公司倒过来。;设计还能改变工作流程,事实上,设计能改变你公司中既有的任何东西。 设计能完全反转你的公司
Now I don't have an exact budget for what this would cost, but I'm quite sure it's very modest compared to the potential harm.;我目前没有一个精确的预算 来决定这项支出, 但我非常确定 这与潜在的伤害非常相比。;我目前没有明确的预算 这到底需要多少钱, 但是我确信跟损失比起来是比较便宜的。
And he was out there with his tape measure going through the trash heap, looking for header material, which is the board that goes over a door, thinking he'd impress his boss -- that's how we taught him to do it.;他带着他的带尺 在垃圾堆里寻找顶梁的材料, 这个板子会从门口流出来, 以为他会给上级打压, 这是我们教他如何做。;他在外面用他的皮尺 在垃圾堆里寻找顶梁的材料 - 就是门上的木板 - 想着他能令老板刮目相看 - 这是我们教他的。
And, I mean -- this kind of stuff, you know, all this stuff came from that separation of this little sort of thing that we do -- now I, when I was a boy was born sort of with this idea that if you want to know something -- you know, maybe it's because my old man was gone a lot, and my mother didn't really know much science, but I thought if you want to know something about stuff;我是说,这种事情,你知道, 这些东西都是来自于我们做事的分离。 现在,当我还是个孩子的时候, 我生来就有这个想法, 就是说,如果你们想要了解一些东西, 可能是因为我老爸常说, 我妈妈其实也不懂什么科学, 但是我想如果你们想要了解一些东西;所以我说 — 这些科学研究,你知道,科学研究 从这些很不搭干的事情上发展而来, 我们做的这些小实验(都是很有意义的)— 当我还是个小男孩, 我生来就有这个想法, 如果你想知道什么事— 要知道,我爸爸常不在家, 我妈妈也不懂什么科学, 但是我就懂得如果你想知道些什么,
In response, three tribes led by the Lakota chief Red Cloud attacked and defeated the U.S. army many times over.;拉科塔酋长红云率领的三个部落 曾经战胜过并战胜了美国军队; 拉科达酋长红云率领的三个部落进行反击, 他们攻打并屡次战胜了美国军队。
If you compare it with what's on the market, price-wise, size-wise, ease of use, complexity; 如果和市场上的产品比较, 价格更便宜,更便宜,更易于使用, 复合性; 如果和市场上的商品对比,价格更便宜, 大小更合适,使用方便,更加复合性
The biggest one was in 1975 by Chase Econometrics.; 最大的一个是在1975年由 香榭丽舍模式进行。;最大的一次是在1975年由大通计量经济学进行的。
It's a pitiful sight.;这是一见钟情。;这是个令人同情的场景。
And the most successful of the developing countries, they have moved on, you know, and they have become emerging economies, we call them.;最成功的是发展中国家, 他们已经搬走了,你知道, 他们成了我们所谓的新兴经济体。;然而这里最成功的发展中国家, 他们也移动了,你知道的。 他们成了我们口中的新兴经济体。
He said, "It is not a matter of how much gold I have, what matters is your capability of handling;他说,"其实不是我有多少金子, 而是你能给予多少; 他说:“关键不是我有多少, 而是你能接多少
So I think there's a real danger that we never really see the sea, and if we don't really see it, if it doesn't have its own iconography, if we miss its majesty, then there's a big danger that we take it for granted.;所以我觉得有种很危险的危险, 就是我们从未真正看到海洋, 如果我们不真的看到了, 如果它没有自身的地理图标, 如果我们怀念它的雄伟, 那我们就会认为它是理所当然的。;因此我觉得有件事很危险, 那就是我们从未真正看清海洋, 而如果我们没有看清, 没有对海洋形成全面的认识, 没有看到它的雄伟庄严, 那我们就会 视为理所当然,这很危险。
